titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao
Good Burger,14/07/2021,1997,Inglês,Brian Robbins,"Comédia, Família",95
Penguins of Madagascar,14/07/2021,2014,Inglês,"Eric Darnell, Simon J. Smith","Animação, Aventura, Comédia",92
Até que a Sorte nos Separe,16/07/2021,2012,Português (Brasileiro),Roberto Santucci,Comédia,104
Até que a Sorte nos Separe 2,16/07/2021,2013,Português (Brasileiro),Roberto Santucci,Comédia,102
Até que a Sorte nos Separe 3: A Falência Final,17/07/2021,2015,Português (Brasileiro),"Marcelo Antunez, Roberto Santucci",Comédia,106
A Busca,17/07/2021,2012,Português (Brasileiro),Luciano Moura,"Drama, Thriller",96
Let's Go to Prison,17/07/2021,2006,Inglês,Bob Odenkirk,"Comédia, Crime",84
Now You See Me,18/07/2021,2013,Inglês,Louis Leterrier,"Crime, Mistério, Thriller",115
Now You See Me 2,19/07/2021,2016,Inglês,Jon M. Chu,"Ação, Aventura, Comédia",129
The Mitchells vs. The Machines,20/07/2021,2021,Inglês,"Michael Rianda, Jeff Rowe","Animação, Aventura, Comédia",113
Luccas Neto em: Perdidos na Noite de Natal,21/07/2021,2018,Português (Brasileiro),Lucas Margutti,"Comédia, Família",41
Uma Professora Muito Maluquinha,24/07/2021,2011,Português (Brasileiro),"André Alves Pinto, César Rodrigues","Comédia, Família, Fantasia",90
Minha Mãe é uma Peça,29/07/2021,2013,Português (Brasileiro),André Pellenz,Comédia,93
Alemão,30/07/2021,2014,Português (Brasileiro),José Eduardo Belmonte,"Ação, Drama, História",112
Estômago,30/07/2021,2007,Português (Brasileiro),Marcos Jorge,"Comédia, Drama",113
Grown Ups,01/08/2021,2010,Inglês,Dennis Dugan,Comédia,102
Grown Ups 2,01/08/2021,2013,Inglês,Dennis Dugan,Comédia,101
Um Suburbano Sortudo,01/08/2021,2016,Português (Brasileiro),"Roberto Santucci, Marcelo Antunez",Comédia,100
Minha Mãe é uma Peça 2,14/08/2021,2016,Português (Brasileiro),César Rodrigues,Comédia,88
Beckett,15/08/2021,2021,Inglês,Ferdinando Cito Filomarino,"Ação, Crime, Drama",108
Como Hackear Seu Chefe,18/08/2021,2021,Português (Brasileiro),Fabrício Bittar,Comédia,85
Minha Mãe é uma Peça 3,19/08/2021,2019,Português (Brasileiro),Susana Garcia,Comédia,111
The Girl Next Door,22/08/2021,2004,Inglês,Luke Greenfield,"Comédia, Drama, Romance",109
The Secret Life of Pets,25/08/2021,2016,Inglês,Chris Renaud,"Animação, Aventura, Comédia",87
300,28/08/2021,2006,Inglês,Zack Snyder,"Ação, Drama",117
"Gostosas, Lindas & Sexies",28/08/2021,2017,Português (Brasileiro),Ernani Nunes,Comédia,140
Totalmente Inocentes,01/09/2021,2012,Português (Brasileiro),Rodrigo Bittencourt,Comédia,90
Cars,06/09/2021,2006,Inglês,John Lasseter,"Animação, Aventura, Comédia",117
My Neighbor Totoro,06/09/2021,1988,Japonês,Hayao Miyazaki,"Animação, Family, Fantasy",86
Alvin and the Chipmunks,08/09/2021,2007,Inglês,Tim Hill,"Animação, Aventura, Comédia",92
Cars 2,09/09/2021,2011,Inglês,John Lasseter,"Animação, Aventura, Comédia",106
Cars 3,09/09/2021,2017,Inglês,Brian Fee,"Animação, Aventura, Comédia",102
Ethel & Ernest,12/09/2021,2016,Inglês,Roger Mainwood,"Animação, Drama, História",94
O Candidato Honesto 2,18/09/2021,2018,Português (Brasileiro),Roberto Santucci,Comédia,104
Dona Flor e Seus Dois Maridos,18/09/2021,2017,Português (Brasileiro),Pedro Vasconcellos,"Comédia, Romance",108
America: The Motion Picture,19/09/2021,2021,Inglês,Matt Thompson,"Animação, Ação, Aventura",98
Confia em Mim,23/09/2021,2014,Português (Brasileiro),Michel Tikhomiroff,Drama,85
The Big Short,23/09/2021,2015,Inglês,Adam McKay,"Biografia, Comédia, Drama",130
